1,"Precentral gyrus","PreCG","L"
3,"Superior frontal gyrus (dorsal)","SFGdor","L"
5,"Orbitofrontal cortex (superior)","ORBsupb","L"
7,"Middle frontal gyrus","MFG","L"
9,"Orbitofrontal cortex (middle)","ORBmid","L"
11,"Inferior frontal gyrus (opercular)","IFGoperc","L"
13,"Inferior frontal gyrus (triangular)","IFGtriang","L"
15,"Orbitofrontal cortex (inferior)","ORBinf","L"
17,"Rolandic operculum","ROL","L"
19,"Supplementary motor area","SMA","L"
21,"Olfactory","OLF","L"
23,"Superior frontal gyrus (medial)","SFGmed","L"
25,"Orbitofrontal cortex (medial)","ORBmed","L"
27,"Rectus gyrus","REC","L"
29,"Insula","INS","L"
31,"Anterior cingulate gyrus","ACG","L"
33,"Middle cingulate gyrus","MCG","L"
35,"Posterior cingulate gyrus","PCG","L"
37,"Hippocampus","HIP","L"
39,"ParaHippocampal gyrus","PHG","L"
41,"Amygdala","AMYG","L"
43,"Calcarine cortex","CAL","L"
45,"Cuneus","CUN","L"
2,"Precentral gyrus","PreCG","R"
4,"Superior frontal gyrus (dorsal)","SFGdor","R"
6,"Orbitofrontal cortex (superior)","ORBsupb","R"
8,"Middle frontal gyrus","MFG","R"
10,"Orbitofrontal cortex (middle)","ORBmid","R"
12,"Inferior frontal gyrus (opercular)","IFGoperc","R"
14,"Inferior frontal gyrus (triangular)","IFGtriang","R"
16,"Orbitofrontal cortex (inferior)","ORBinf","R"
18,"Rolandic operculum","ROL","R"
20,"Supplementary motor area","SMA","R"
22,"Olfactory","OLF","R"
24,"Superior frontal gyrus (medial)","SFGmed","R"
26,"Orbitofrontal cortex (medial)","ORBmed","R"
28,"Rectus gyrus","REC","R"
30,"Insula","INS","R"
32,"Anterior cingulate gyrus","ACG","R"
34,"Middle cingulate gyrus","MCG","R"
36,"Posterior cingulate gyrus","PCG","R"
38,"Hippocampus","HIP","R"
40,"ParaHippocampal gyrus","PHG","R"
42,"Amygdala","AMYG","R"
44,"Calcarine cortex","CAL","R"
46,"Cuneus","CUN","R"
